city_ascii,lat,lng,country,iso3,population
San Pablo Villa de Mitla,16.917,-96.4,Mexico,MEX,7547.0
Marion,36.8389,-81.5135,United States,USA,7547.0
Philadelphia,32.7761,-89.1221,United States,USA,7545.0
Highlands,29.813,-95.0577,United States,USA,7544.0
Pembroke,34.6766,-79.1934,United States,USA,7544.0
Vandenberg Village,34.7111,-120.4623,United States,USA,7541.0
Whitefish,48.4333,-114.3593,United States,USA,7540.0
Southgate,27.3082,-82.5096,United States,USA,7539.0
Mount Shasta,41.3206,-122.315,United States,USA,7536.0
Richfield,38.7628,-112.0926,United States,USA,7533.0
Chehalis,46.6637,-122.9647,United States,USA,7533.0
Zuni Pueblo,35.0708,-108.8484,United States,USA,7532.0
Pinson,33.7057,-86.6674,United States,USA,7532.0
Palmyra,40.31,-76.5945,United States,USA,7527.0
Delafield,43.072,-88.3913,United States,USA,7526.0
Diamondhead,30.3791,-89.3707,United States,USA,7525.0
Saranac Lake,44.3246,-74.1315,United States,USA,7522.0
Waupaca,44.3508,-89.0721,United States,USA,7521.0
Sappington,38.526,-90.373,United States,USA,7519.0
Helena Valley Southeast,46.6175,-111.9186,United States,USA,7517.0
Inverness,42.1152,-88.1019,United States,USA,7508.0
Strathmore,40.4018,-74.2194,United States,USA,7503.0
Lockwood,45.8199,-108.4072,United States,USA,7503.0
Banff,51.178,-115.5719,Canada,CAN,7502.0
Young,-34.3096,148.29,Australia,AUS,7501.0
Yarmouth,43.8308,-66.1126,Canada,CAN,7500.0
Hughson,37.602,-120.866,United States,USA,7498.0
Charlestown,38.427,-85.6677,United States,USA,7496.0
Webster City,42.4623,-93.8167,United States,USA,7489.0
Ashland,40.7811,-76.3451,United States,USA,7487.0
Hubbard,41.1595,-80.5672,United States,USA,7485.0
Porters Neck,34.2942,-77.7695,United States,USA,7483.0
River Rouge,42.2731,-83.1246,United States,USA,7482.0
Winsted,41.9268,-73.0674,United States,USA,7482.0
Waite Park,45.5313,-94.2528,United States,USA,7481.0
Cotati,38.3279,-122.7092,United States,USA,7479.0
Flowery Branch,34.1713,-83.9142,United States,USA,7477.0
Beebe,35.0714,-91.8998,United States,USA,7477.0
Morrow,33.5816,-84.3392,United States,USA,7473.0
Rockton,42.45,-89.0631,United States,USA,7473.0
Franklin,37.3277,-120.5321,United States,USA,7471.0
Homeland,33.7459,-117.1132,United States,USA,7471.0
Fairlawn,41.127,-81.6215,United States,USA,7468.0
Woodlake,37.4216,-77.6783,United States,USA,7467.0
Withamsville,39.0628,-84.2808,United States,USA,7467.0
Middleborough Center,41.8945,-70.926,United States,USA,7462.0
Gaoual,11.754,-13.213,Guinea,GIN,7461.0
Gold River,38.6268,-121.2487,United States,USA,7460.0
Green,43.1509,-123.3854,United States,USA,7453.0
Salida,38.53,-105.9984,United States,USA,7452.0
Glastonbury Center,41.7019,-72.6002,United States,USA,7451.0
Wellington,37.2622,-97.4281,United States,USA,7450.0
Whiteville,34.3306,-78.7013,United States,USA,7449.0
New London,44.395,-88.7394,United States,USA,7448.0
Perry,41.8387,-94.0938,United States,USA,7444.0
LaFayette,34.7089,-85.2814,United States,USA,7444.0
Camp Pendleton North,33.3148,-117.3162,United States,USA,7443.0
Middleton,43.7116,-116.6153,United States,USA,7439.0
Villa Hills,39.0638,-84.5947,United States,USA,7437.0
Yreka,41.7292,-122.6311,United States,USA,7437.0
Payette,44.0789,-116.9256,United States,USA,7434.0
Hempstead,30.0996,-96.0781,United States,USA,7432.0
Harrison,35.1275,-85.1464,United States,USA,7427.0
Charles City,43.0644,-92.6745,United States,USA,7425.0
Summit View,47.1343,-122.3468,United States,USA,7421.0
Northgate,39.2531,-84.5943,United States,USA,7420.0
Marshfield,37.3414,-92.9116,United States,USA,7418.0
New Bremen,40.4355,-84.3775,United States,USA,7418.0
Santa Clara,37.1311,-113.656,United States,USA,7418.0
Providence,41.7033,-111.8122,United States,USA,7411.0
Mount Horeb,43.006,-89.7317,United States,USA,7407.0
McCook,40.2046,-100.6213,United States,USA,7407.0
Mentor-on-the-Lake,41.7135,-81.365,United States,USA,7404.0
Albertville,45.2364,-93.6618,United States,USA,7403.0
Lake of the Woods,38.3343,-77.7599,United States,USA,7401.0
Clarkston,46.4152,-117.0502,United States,USA,7396.0
Jackson,38.3485,-120.7728,United States,USA,7394.0
Carnarvon,-24.8998,113.6501,Australia,AUS,7392.0
Osceola,35.6941,-89.9935,United States,USA,7392.0
North Star,39.755,-75.7331,United States,USA,7390.0
Sandwich,41.6496,-88.6177,United States,USA,7387.0
Midland Park,40.9952,-74.1411,United States,USA,7384.0
Dos Palos,36.9854,-120.6337,United States,USA,7383.0
Thurmont,39.621,-77.4076,United States,USA,7383.0
Herkimer,43.0282,-74.9928,United States,USA,7380.0
Monument,39.0736,-104.8468,United States,USA,7380.0
Florence,38.3835,-105.1114,United States,USA,7376.0
Connellsville,40.0158,-79.5899,United States,USA,7368.0
Northport,40.9036,-73.3446,United States,USA,7368.0
La Feria,26.1544,-97.8256,United States,USA,7364.0
Geneva,41.8006,-80.9462,United States,USA,7364.0
Crystal City,28.6909,-99.8257,United States,USA,7363.0
Torrington,42.0658,-104.1623,United States,USA,7363.0
Edgerton,42.8386,-89.0698,United States,USA,7363.0
Baywood,40.7533,-73.29,United States,USA,7360.0
Lowell,42.9351,-85.3457,United States,USA,7359.0
Spring Valley Lake,34.4988,-117.2684,United States,USA,7356.0
Forsyth,36.686,-93.1016,United States,USA,7354.0
Hiawatha,42.0545,-91.691,United States,USA,7353.0
West Dundee,42.0984,-88.3072,United States,USA,7352.0
Wynne,35.2326,-90.7895,United States,USA,7348.0
Smithville,39.4934,-74.4782,United States,USA,7340.0
Dunbar,38.3688,-81.7345,United States,USA,7338.0
Lincolnshire,42.1957,-87.9182,United States,USA,7336.0
Tyrone,33.4752,-84.5941,United States,USA,7336.0
Ralston,41.2005,-96.0354,United States,USA,7333.0
